Country,City,Latitude,Longitude,Temperature,Humidity %,Wind Speed,Cloudiness %
RU,gorshechnoye,51.52,38.03,31.72,91,8.72,92
BR,cidreira,-30.17,-50.22,78.34,62,11.74,8
RU,saskylakh,71.97,114.09,-16.79,48,2.91,56
GL,nuuk,64.17,-51.74,32,100,4.7,92
AR,la primavera,-32.92,-68.67,73.4,25,5.82,0
RU,novopokrovka,45.85,134.51,29.56,87,4.14,56
US,fairbanks,64.84,-147.72,50,56,4.7,1
AR,libertador general san martin,-23.81,-64.79,74.02,78,3.13,20
UY,rocha,-34.48,-54.34,65.83,60,18.01,32
US,merrill,42.03,-121.6,51.01,39,9.17,40
CA,havre-saint-pierre,50.23,-63.6,24.8,38,24.16,20
AU,hervey bay,-25.3,152.85,84.99,94,5.14,76
IN,lakhimpur,27.24,94.1,62.77,80,7.49,8
,dahuk,,,,,,
RU,cherskiy,68.75,161.3,-11.75,37,4.14,0
MR,podor,16.65,-14.96,79.87,30,11.97,36
GR,saint george,39.45,22.34,53.01,81,2.13,0
CA,mackay,53.65,-115.58,41,75,11.41,90
RU,pizhanka,57.46,48.54,29.83,94,10.4,76
,tsihombe,,,,,,
NA,henties bay,-22.12,14.28,63,87,3,80
CA,iqaluit,63.75,-68.52,5,60,8.05,75
CO,murindo,6.98,-76.75,83.65,82,3.24,44
CO,la palma,5.36,-74.39,73.84,88,2.57,56
JP,fukue,35.03,136.69,39.99,74,9.17,40
GY,georgetown,6.8,-58.16,84.2,70,13.87,20
ZA,kruisfontein,-34,24.73,66.28,88,13.2,100
PG,vanimo,-2.67,141.3,78.52,100,12.3,48
MN,baruun-urt,46.68,113.28,17.68,64,7.72,0
US,kinston,35.26,-77.58,71.6,15,13.87,1
RU,povenets,62.85,34.83,25.24,75,7.83,0
US,lompoc,34.64,-120.46,68,59,10.29,20
MV,ugoofaaru,5.67,73,83.56,100,11.3,0
,asfi,,,,,,
JP,katsuura,33.93,134.5,39.2,80,9.17,75
FI,tornio,61.12,27.27,30.2,68,3.36,0
BS,marsh harbour,26.54,-77.06,73.84,100,15.66,76
RU,koslan,63.46,48.9,32.98,84,8.39,88
RU,lavrentiya,65.58,-170.99,31.81,99,21.03,92
RU,zheleznodorozhnyy,55.75,38,35.01,88,6.71,40
AU,alyangula,-13.85,136.42,84.2,83,8.05,75
ES,santa quiteria,37.67,-1.69,57.99,66,1.01,80
IS,hofn,64.25,-15.21,38.92,98,8.16,0
NZ,ahipara,-35.17,173.16,68.26,86,6.15,0
BR,itaqui,-29.13,-56.55,83.65,44,12.3,24
US,frankfort,38.2,-84.87,62.01,58,9.17,90
,umzimvubu,,,,,,
,tumannyy,,,,,,
ID,denpasar,-8.65,115.22,77,100,2.24,75
GL,kangaatsiaq,68.31,-53.46,19.39,100,17,48
,asau,,,,,,
PT,vila franca do campo,37.72,-25.43,57.2,82,9.17,20
RU,polunochnoye,60.87,60.43,17.05,64,2.8,0
RU,mugur-aksy,50.38,90.44,10.03,82,3.58,48
TH,amnat charoen,15.86,104.63,72.58,96,3.69,32
RU,tyrma,50.04,132.17,7.06,72,2.35,56
CA,marystown,47.17,-55.16,33.01,100,4,8
AR,ushuaia,-54.81,-68.31,59,69,8.05,75
NZ,ngunguru,-35.62,174.5,63,95,10.18,68
IN,dunda,30.62,78.32,42.7,91,1.9,80
CA,thessalon,46.26,-83.55,37.4,40,5.82,1
US,bemidji,47.48,-94.89,37.4,59,9.17,75
EE,vao,59.1,26.19,31.99,81,10.4,12
,tarudant,,,,,,
AU,hobart,-42.88,147.33,57.99,41,24.16,20
PH,sabang,13.72,123.58,72.94,100,3.24,92
FR,plouzane,48.38,-4.62,46.99,81,4.7,0
US,avera,33.19,-82.53,78.8,31,9.17,1
FR,saint-augustin,44.83,-0.61,55.4,58,13.87,0
RU,petropavlovsk-kamchatskiy,53.05,158.65,21.2,100,7.94,36
ML,kidal,18.44,1.41,78.97,17,7.16,68
,kadykchan,,,,,,
IN,tezu,27.93,96.16,52.6,76,1.68,0
LA,chiang khong,20.27,100.41,66.2,93,4.36,0
RU,ostrovnoy,68.05,39.51,30.64,90,14.2,88
CA,medicine hat,50.04,-110.68,33.01,95,8.05,90
MX,guerrero negro,27.97,-114.04,72.49,46,12.64,12
NZ,waipawa,-39.94,176.59,72,64,1.99,0
NZ,wanaka,-44.7,169.14,56.74,99,2.57,92
,santa eulalia del rio,,,,,,
US,hilo,19.71,-155.08,71.01,88,8.05,90
US,charlottesville,38.03,-78.48,68,20,14.99,1
RU,nizhniy odes,63.64,54.86,34.69,86,7.72,92
OM,sur,22.57,59.53,71.86,100,12.97,24
AU,karratha,-20.74,116.85,76.18,89,32.55,92
RU,palana,59.08,159.95,11.47,66,7.38,56
CA,harbour breton,47.48,-55.8,33.01,100,4,0
CA,tuktoyaktuk,69.44,-133.03,19.4,79,10.29,75
,nguiu,,,,,,
BR,porto belo,-27.15,-48.54,82,78,11.41,0
ID,bontang,0.12,117.47,80.14,100,10.96,12
NO,beian,63.66,9.57,36,100,4.7,75
JP,shimoda,34.7,138.93,39,69,11.18,0
,buariki,,,,,,
NO,mehamn,71.03,27.85,32,74,26.4,75
KZ,osakarovka,50.56,72.58,34.15,97,3.02,88
IN,ambagarh chauki,20.78,80.75,68.26,52,4.7,0
,temaraia,,,,,,
GL,nanortalik,60.14,-45.24,32.89,93,40.71,92
AU,flinders,-34.58,150.85,79,56,12.75,0
,olafsvik,,,,,,
MZ,nanyamba,-10.69,39.81,74.47,96,2.35,24
GH,takoradi,4.89,-1.75,83.11,95,9.06,44
,cheuskiny,,,,,,
PG,wewak,-3.55,143.63,72.22,100,2.01,92
AU,broken hill,-31.97,141.45,66.2,93,11.41,90
AR,bahia blanca,-38.72,-62.27,66.01,65,15.88,0
MX,cabo san lucas,22.89,-109.91,87.01,44,10.29,5
,dolbeau,,,,,,
PH,dingle,11,122.67,75.19,73,10.63,0
,cumaribo,,,,,,
MY,klang,3.05,101.45,77,94,2.24,75
MX,felipe carrillo puerto,19.58,-88.05,92.92,26,4.36,0
,saleaula,,,,,,
,azimur,,,,,,
UA,novikovo,45.05,34.56,30.82,100,3.36,8
AR,mar del plata,-46.43,-67.52,64.84,57,7.61,12
KZ,ekibastuz,51.72,75.32,28.57,93,4.81,68
EC,olinda,-2.03,-79.75,86,70,5.82,75
PH,hagdan,11.33,123.9,80.68,100,17.56,0
US,vardo,39.62,-77.74,64.4,17,6.93,1
CA,altamont,49.4,-98.5,28,58,12.75,1
NO,tromso,69.65,18.96,30.2,68,20.8,75
US,medford,42.33,-122.87,61,54,5.82,1
ID,padang,-0.92,100.36,73.4,100,2.24,40
SY,abu samrah,35.3,37.18,48.55,77,3.24,76
US,bluffton,40.74,-85.17,53.01,57,6.93,90
US,valparaiso,41.47,-87.06,53.01,53,3.36,75
FR,rumes,50.56,3.3,45,70,4.7,40
AO,sumbe,-11.2,13.84,80.68,100,5.93,76
CD,moba,-7.04,29.77,69.88,96,1.23,8
RU,nizhniy baskunchak,48.22,46.83,32.35,89,11.3,24
US,havelock,34.88,-76.9,68,58,11.41,1
CN,shihezi,44.3,86.03,34.78,70,8.72,92
BJ,nikki,9.94,3.21,78.43,48,3.24,12
,tubruq,,,,,,
US,jackson,35.61,-88.82,72,37,14.99,40
CI,sassandra,4.95,-6.09,83.92,95,12.41,20
MX,tomatlan,19.93,-105.25,88.42,33,4.14,0
RU,severo-yeniseyskiy,60.37,93.04,23.71,97,2.35,88
CA,smithers,54.78,-127.17,42.8,60,2.57,40
PE,pisco,-13.71,-76.2,71.6,30,25.28,0
,burica,,,,,,
BR,paragominas,-3,-47.35,79.42,86,4.14,88
ES,carballo,43.21,-8.69,62.01,54,3.36,0
,yomitan,,,,,,
FR,saint-pierre,48.95,4.24,44.6,80,8.05,0
,mergui,,,,,,
BO,poopo,-18.38,-66.97,65.74,46,7.16,48
CD,boende,-0.28,20.88,76.09,90,2.35,48
BR,touros,-5.2,-35.46,84.2,74,10.29,20
RO,orzu,44.77,23.24,53.01,55,2.35,0
ZA,port alfred,-33.59,26.89,71.01,94,5.99,80
US,naples,26.14,-81.79,82.4,54,3.36,75
,geresk,,,,,,
ES,fortuna,38.18,-1.13,55.4,54,1.12,0
KZ,kachiry,53.07,76.1,16.42,61,2.91,48
CA,stromness,42.87,-79.55,52,82,17.22,75
CN,huanren,41.26,125.37,25.15,79,3.36,0
CL,coquimbo,-29.95,-71.34,59,82,9.17,75
US,portland,45.52,-122.67,62.01,50,8.05,40
RU,belaya gora,68.54,146.19,-8.33,64,3.36,48
MU,mahebourg,-20.41,57.7,80.6,83,12.75,75
IT,capaci,38.17,13.24,59,81,3.36,0
SY,harqalah,35.96,38.95,46.21,90,9.4,64
,attawapiskat,,,,,,
GL,narsaq,60.91,-46.05,30.2,74,49.44,76
CA,saint-georges,46.12,-70.67,33.01,71,7,80
ES,puerto del rosario,28.5,-13.86,66.2,72,6.93,20
US,spokane,47.66,-117.42,51.01,75,10.29,90
,samalaeulu,,,,,,
,torit,,,,,,
IE,killybegs,54.63,-8.45,46.4,87,17.22,75
DZ,constantine,36.36,6.61,50,71,2.68,0
CN,sanmenxia,34.77,111.19,31.9,77,2.68,0
AU,codrington,-28.95,153.24,80.6,83,4.03,20
NE,arlit,18.74,7.39,75.46,24,11.63,20
MX,constitucion,23.99,-104.67,79,6,5.82,5
BR,vila velha,-3.71,-38.6,82.4,78,4.7,75
CV,sao filipe,14.9,-24.5,69.7,100,10.4,0
SN,dakar,14.69,-17.45,68,82,6.93,40
VN,cam ranh,11.92,109.15,78.8,94,4.7,20
RU,sharanga,57.18,46.54,29.47,92,8.39,80
CA,aklavik,68.22,-135.01,30.2,54,3.02,40
IT,tricase,39.93,18.36,57.2,67,5.82,5
RU,parabel,58.71,81.5,20.47,77,4.47,32
US,los lunas,34.81,-106.76,69.01,18,16.11,20
RU,dikson,73.51,80.55,22.18,94,36.57,80
RU,ust-tsilma,65.44,52.15,33.7,85,7.94,80
JP,hasaki,35.73,140.83,39.2,80,9.17,40
PK,khuzdar,27.8,66.62,51.52,86,2.35,0
NC,poya,-21.35,165.16,78.7,100,11.74,48
PT,ponta delgada,37.73,-25.67,57.2,82,9.17,20
PH,taft,11.9,125.42,76.09,93,10.74,88
TL,airai,-8.93,125.41,68.71,91,1.34,8
IN,kavaratti,10.57,72.64,83.47,100,2.8,0
NA,walvis bay,-22.95,14.51,63,77,4.7,12
RU,tigil,57.8,158.67,10.48,77,8.72,64
MX,ures,30.73,-112.95,82,28,5.99,20
,bengkulu,,,,,,
CA,sunnyside,47.86,-53.92,34,81,8.01,8
JP,nemuro,43.32,145.57,29.74,100,12.86,0
CA,geraldton,49.72,-86.95,24.8,21,10.29,5
YT,bandraboua,-12.7,45.12,80.6,88,2.24,20
US,kapaa,22.08,-159.32,75.2,88,4.7,90
GB,northam,51.04,-4.21,46.99,87,9.17,0
BR,sao felix do xingu,-6.64,-51.99,80.32,83,2.24,36
BR,manoel urbano,-8.84,-69.26,84.46,76,2.91,0
,sakakah,,,,,,
US,pueblo,38.25,-104.61,63,29,5.82,1
SA,buraydah,26.33,43.97,77,38,10.29,56
LY,waddan,29.16,16.14,52.87,69,8.39,0
GB,penzance,50.12,-5.53,46.99,75,9.17,0
NE,filingue,14.35,3.32,81.67,39,4.03,48
RU,krasnyy chikoy,50.36,108.75,14.35,78,2.13,24
,tarlisua,,,,,,
ID,banjar,-7.37,108.54,72.58,99,1.12,92
GB,newport,51.59,-3,48,70,13.87,90
NE,bilma,18.69,12.92,78.88,13,16.67,56
BR,ponta do sol,-20.63,-46,75.28,77,2.68,56
ES,punta umbria,37.18,-6.97,59.71,76,11.41,48
CK,avarua,-21.21,-159.78,82.4,88,9.17,80
CN,xichang,27.88,102.25,28.3,83,1.45,0
AO,luanda,-8.83,13.24,78.8,78,5.82,75
PY,puerto rico,-26.82,-55.03,79.78,60,3.47,0
BW,hukuntsi,-23.98,21.76,76.72,36,9.62,32
CA,torbay,47.66,-52.73,35.01,80,21.92,20
PF,atuona,-9.8,-139.03,82.12,100,15.99,36
MN,mandalgovi,45.76,106.27,14.08,72,2.91,0
JP,muroto,33.37,134.14,39.82,100,4.92,0
GF,sinnamary,5.38,-52.96,80.59,92,12.19,76
BS,high rock,26.63,-78.28,78.8,57,12.75,75
,berbera,,,,,,
IS,vestmannaeyjar,63.44,-20.27,32.8,100,5.14,20
PE,chivay,-15.64,-71.6,42.88,91,3.58,88
RU,kovdor,67.56,30.47,27.94,86,5.26,36
,krasnoselkup,,,,,,
PG,kokopo,-4.34,152.27,77.17,100,0.22,56
US,bethel,60.79,-161.76,35.6,100,20.8,90
AR,barrow,-38.31,-60.23,58.54,80,17.78,92
AU,mareeba,-16.99,145.42,77,94,4.7,40
BR,vilhena,-12.74,-60.15,75.2,94,2.24,20
RU,nyagan,62.14,65.43,31.72,83,7.05,80
RU,egvekinot,66.32,-179.17,2.11,81,5.14,80
MU,cap malheureux,-19.98,57.61,80.6,83,12.75,75
NO,skjervoy,70.03,20.97,30.2,68,13.87,75
GB,baglan,51.62,-3.81,48.2,87,9.17,36
PT,mirandela,41.49,-7.18,54,36,1.01,0
PH,tanza,14.39,120.85,78.01,78,6.93,40
NG,matagami,9.67,8.4,75.1,43,4.81,92
AU,jamestown,-33.21,138.6,54.94,83,14.54,76
AR,santa rosa,-36.62,-64.29,71.32,35,8.95,80
MZ,lichinga,-13.3,35.25,68.26,97,3.24,80
RU,kysyl-syr,63.9,122.77,-0.68,76,5.37,8
,ye,,,,,,
CN,yuanping,38.72,112.71,21.37,50,2.24,0
NI,puerto cabezas,14.04,-83.39,84.2,74,4.7,40
GB,brae,60.4,-1.35,41,75,16.11,76
CN,hohhot,40.81,111.65,19.4,41,6.71,0
NZ,tuatapere,-46.13,167.69,64,92,3.8,68
US,oregon,42.01,-89.33,48.2,87,3.36,90
PG,namatanai,-3.66,152.44,79.69,100,6.15,68
AU,new norfolk,-42.78,147.06,57.99,41,24.16,20
MV,hithadhoo,-0.6,73.08,84.37,100,8.61,92
CF,bossangoa,6.5,17.45,72.94,85,11.41,76
RU,andreapol,56.65,32.27,28.57,71,12.64,0
,akyab,,,,,,
RU,sosnovo-ozerskoye,52.53,111.54,-2.75,64,3.69,0
MK,poum,41.28,20.71,35.68,81,1.9,0
ZA,oranjemund,-28.55,16.43,62.68,91,13.65,92
NO,roald,62.58,6.12,37.4,93,16.11,75
CA,thompson,55.74,-97.86,23,27,10.29,20
JP,shingu,33.72,135.99,51.43,100,5.7,0
RU,gornyy,51.76,48.54,32.44,97,5.26,92
,yirol,,,,,,
,bolungarvik,,,,,,
CO,inirida,3.87,-67.92,79.96,89,2.46,44
IR,susangerd,31.56,48.19,69.8,77,9.17,90
RU,baykit,61.68,96.39,17.41,83,2.8,88
CL,vallenar,-28.58,-70.76,71.14,73,2.91,0
LT,salcininkai,54.3,25.38,39,69,8.05,0
CL,punta arenas,-53.16,-70.91,53.6,58,28.86,75
CN,dingtao,35.07,115.56,44.14,66,11.52,32
UY,chuy,-33.69,-53.46,69.25,69,18.68,0
NG,calabar,4.98,8.34,74.92,100,2.57,92
CL,valdivia,-39.81,-73.25,71.6,43,6.93,0
PG,lorengau,-2.02,147.27,80.86,100,7.94,64
US,nantucket,41.28,-70.1,45,60,25.28,1
RU,chokurdakh,70.62,147.9,-13.01,60,3.13,20
CA,sept-iles,50.2,-66.38,19.99,26,17.22,20
IT,vila,45.18,8.4,61,47,4.92,0
RU,samur,41.83,48.49,44.59,89,13.53,92
RU,agirish,61.92,63.02,32.8,86,5.14,80
SO,bandarbeyla,9.49,50.81,79.42,100,5.26,48
,vaitupu,,,,,,
RU,severo-kurilsk,50.68,156.12,25.78,100,13.76,36
BR,parana,-7.52,-72.89,86,70,5.82,75
ID,waingapu,-9.65,120.26,77.17,93,7.72,64
RU,tavricheskoye,54.59,73.64,21.2,92,2.24,40
RU,kargopol,61.51,38.95,28.3,87,8.95,32
ZA,hermanus,-34.42,19.24,66,93,2.68,56
IT,uri,40.64,8.49,51.01,93,1.12,0
BR,mutum,-19.82,-41.44,74.47,79,3.24,80
,one hundred mile house,,,,,,
ML,taoudenni,22.68,-3.98,74.65,27,1.57,64
AO,malanje,-9.54,16.35,65.65,97,2.57,76
AU,batemans bay,-35.71,150.18,75.99,66,5.01,88
OM,salalah,17.01,54.1,78.8,78,6.93,40
SO,bosaso,11.28,49.18,78.7,100,1.57,0
NO,bud,62.91,6.91,37.4,93,16.11,75
ID,kawalu,-7.38,108.21,65.29,92,1.57,48
RU,taksimo,56.36,114.84,-4.64,47,2.46,24
ES,algeciras,36.13,-5.45,60.8,87,14.99,48
SD,umm kaddadah,13.6,26.69,82.21,15,13.42,0
AU,port lincoln,-34.72,135.86,61.42,89,23.49,44
CN,zunyi,27.73,106.92,35.41,89,2.68,8
BN,victoria,5.28,115.24,80.6,83,1.12,75
GH,anloga,5.79,0.9,82.4,88,11.41,20
US,galle,29.74,-97.91,82.99,54,11.41,75
CA,caronport,50.46,-105.81,37,62,7,44
SL,bonthe,7.53,-12.5,82.48,74,5.03,24
BR,nhamunda,-2.19,-56.71,87.88,66,2.91,56
US,kodiak,39.95,-94.76,57,93,9.17,90
PH,tagusao,9.19,117.81,75.19,97,4.92,0
CD,yangambi,0.77,24.47,74.11,97,2.13,56
ZA,bredasdorp,-34.53,20.04,64,88,4.7,0
JP,sakaiminato,35.55,133.23,46.4,70,8.05,75
US,kingsport,36.55,-82.56,68,27,12.75,1
IT,carbonia,39.17,8.53,53.6,93,4.7,0
,jiddah,,,,,,
MX,acapulco,16.86,-99.88,86,70,8.05,5
RU,yeniseysk,58.45,92.17,14.62,81,2.91,56
IR,baft,29.23,56.61,26.23,88,2.91,0
ZA,richards bay,-28.77,32.06,75.01,81,9.51,20
IT,lipari,38.47,14.95,59,67,5.82,5
,dzhusaly,,,,,,
MG,antalaha,-14.9,50.28,78.88,92,8.5,24
FR,oyonnax,46.26,5.66,51.8,70,5.82,0
RU,voznesenye,61.02,35.48,26.77,74,11.86,0
FR,saint-joseph,43.56,6.97,59,81,2.24,0
BR,arraial do cabo,-22.97,-42.02,80.6,74,6.93,20
SA,tarut,26.57,50.06,73.4,64,24.16,80
PH,san policarpo,12.18,125.51,76.09,93,10.74,88
RU,kataysk,56.29,62.58,23.71,74,5.14,76
LK,kalmunai,7.42,81.82,67,98,2.24,0
BR,parintins,-2.63,-56.73,87.88,66,2.91,56
ID,praya,-8.71,116.27,75.2,94,3.36,75
ID,pangkalanbuun,-2.68,111.62,72.67,94,2.8,36
NC,noumea,-22.28,166.46,80.6,69,8.05,0
GA,lastoursville,-0.81,12.73,76.27,86,2.13,88
JP,nichinan,31.65,131.31,41,75,8.05,75
,grajau,,,,,,
NZ,mataura,-46.19,168.86,64,92,9.06,36
CY,lasa,34.92,32.53,55.4,40,16.11,20
BR,petrolina,-9.38,-40.5,82.4,69,3.36,20
FR,veraval,49.65,0.71,42.8,65,6.93,0
ML,kolokani,13.58,-8.03,83.29,50,4.03,64
GL,upernavik,72.79,-56.15,1.12,100,26.17,0
PT,saldanha,41.42,-6.55,52.15,46,6.82,0
NO,nikel,69.41,30.21,28.4,86,14.99,90
IS,grindavik,63.84,-22.43,32,100,8.05,75
BJ,bembereke,10.23,2.66,78.52,45,2.8,56
BR,jutai,-1.71,-47.89,78.07,91,3.47,80
US,nome,30.04,-94.42,78.01,73,8.05,90
PH,dicabisagan,17.08,122.42,73.21,100,4.7,76
CA,clyde river,70.47,-68.59,-11.21,76,32.21,75
RO,apateu,46.62,21.78,55.4,50,10.29,0
RU,gornopravdinsk,60.06,69.92,22.54,78,6.15,0
CA,port hardy,50.7,-127.42,48.2,76,5.82,20
RU,kuminskiy,58.67,66.57,26.5,93,6.26,36
,skagastrond,,,,,,
NU,alofi,-19.06,-169.92,84.2,58,16.11,44
BR,sao miguel do araguaia,-13.28,-50.16,77.35,94,4.36,88
US,kailua,21.39,-157.74,82.4,57,9.17,75
BR,sao jose da coroa grande,-8.9,-35.15,82.03,81,10.4,0
IN,tiruttani,13.18,79.61,82.4,83,3.36,20
RU,imeni zhelyabova,58.95,36.6,31.27,91,8.61,68
,amderma,,,,,,
RU,zima,53.93,102.05,26.95,77,5.59,92
,varadero,,,,,,
IR,mehran,33.12,46.17,46.4,100,6.93,90
IT,roma,41.89,12.48,55.99,71,4.7,0
RU,beringovskiy,63.05,179.32,28.57,91,5.48,12
IN,adra,23.5,86.68,68.08,45,8.05,0
MX,cadereyta,25.58,-99.98,82.4,54,8.05,5
BR,fuerte olimpo,-21.04,-57.87,90.4,56,3.36,12
GL,tasiilaq,65.61,-37.64,21.2,73,33.33,92
IR,bam,29.11,58.36,44.05,75,4.7,0
AU,cairns,-16.92,145.77,77,94,4.7,40
RU,sobolevo,54.43,31.9,31.18,62,9.73,0
CN,lianran,24.92,102.47,54,65,5.48,0
,jibuti,,,,,,
RU,pevek,69.7,170.27,-6.35,86,10.4,32
NE,tahoua,14.89,5.26,79.15,28,6.71,44
NA,eenhana,-17.48,16.34,84.2,37,9.17,32
BR,caravelas,-17.73,-39.27,83.2,98,15.32,44
RU,tiksi,71.64,128.87,-14.36,43,2.68,32
CA,shelburne,44.08,-80.2,48.2,69,12.75,1
FO,klaksvik,62.23,-6.59,39.2,80,26.4,0
AL,leskovik,40.15,20.6,50,6,1.34,0
,ngukurr,,,,,,
RU,leningradskiy,69.38,178.42,0.4,94,7.05,56
CF,ouadda,8.07,22.4,85.27,34,9.4,80
VN,quang ngai,15.12,108.8,70.6,96,1.01,88
,tabiauea,,,,,,
CL,castro,-42.48,-73.76,59,67,9.17,44
,illoqqortoormiut,,,,,,
MX,pochutla,15.74,-96.47,89.6,46,7.61,20
GB,winslow,51.94,-0.88,46.99,75,8.05,0
TD,abeche,13.83,20.83,82.3,19,10.74,0
CI,bouna,9.27,-3,85.09,37,3.91,44
EG,abnub,27.27,31.15,66.2,34,14.99,0
FR,saint-francois,46.42,3.91,44.6,81,4.7,20
US,brandon,43.59,-96.57,52,75,12.75,90
,barentsburg,,,,,,
RU,kungurtug,50.6,97.53,2.65,60,3.13,12
GB,scarborough,54.28,-0.41,46.4,75,12.75,44
US,harrisburg,40.27,-76.89,61,17,4.7,1
US,stephenville,32.22,-98.2,84.2,47,10.29,75
CA,haines junction,60.75,-137.51,39.64,50,3.02,0
RU,anadyr,64.73,177.51,21.2,85,24.61,75
PE,las palmas,-6.53,-76.35,62.6,290,8.05,40
MY,kuching,1.56,110.34,78.8,94,8.95,75
NG,jos,9.92,8.9,72.67,59,2.91,88
,arrecife,,,,,,
RU,deputatskiy,69.3,139.9,-29.03,43,4.92,8
,bardiyah,,,,,,
BY,masty,53.42,24.54,34.24,67,3.91,12
UA,kuchurhan,46.74,29.98,37.4,86,4.47,0
CN,shenxian,36.24,115.67,49.63,53,10.51,48
IN,vaini,15.34,74.49,68.62,90,1.01,44
SV,santa ana,13.99,-89.56,89.6,19,9.17,0
CL,ancud,-41.87,-73.83,59,67,9.17,68
CL,talcahuano,-36.72,-73.12,66.2,55,18.34,0
CA,norman wells,65.28,-126.83,30.2,58,4.7,90
SE,kristianstad,56.03,14.16,41,75,6.93,8
BR,sao joao da barra,-21.64,-41.05,78.8,74,4.7,0
BR,pitanga,-24.76,-51.76,77.8,66,2.57,92
GL,maniitsoq,65.42,-52.9,28.21,80,12.41,88
AR,san pedro,-33.68,-59.66,68,57,4,0
,kousseri,,,,,,
EG,marsa matruh,31.35,27.25,59,58,14.99,0
US,isla vista,34.41,-119.86,66.99,72,9.17,1
IN,lata,30.78,78.62,42.7,91,1.9,80
IN,ponnani,10.77,75.93,80.6,83,2.24,20
,belushya guba,,,,,,
RO,esna,45.2,27.57,43.96,53,6.71,0
EC,san cristobal,-0.39,-78.55,62.6,72,13.87,75
IN,jhalrapatan,24.54,76.17,63.94,80,3.13,0
AR,ceres,-29.88,-61.95,82.84,42,14.09,0
GB,ardrishaig,56.02,-5.45,44.6,75,23.04,64
IT,orbetello,42.44,11.21,54,76,2.24,0
IN,rayadrug,14.7,76.87,77.35,51,7.72,0
AU,busselton,-33.64,115.35,51.01,45,17.67,0
RU,katangli,51.71,143.23,20.65,96,15.66,88
ID,sibolga,1.74,98.78,67.54,100,1.12,24
US,sitka,37.17,-99.65,63,53,5.99,0
IN,dharchula,29.85,80.53,35.23,93,1.57,88
PE,chicama,-7.84,-79.15,71.6,83,10.29,40
PF,tautira,-17.73,-149.15,86,70,6.93,75
RU,ukholovo,53.79,40.49,33.01,97,3,64
PT,belmonte,40.36,-7.35,46.99,71,1.01,0
PF,tiarei,-17.53,-149.33,86,70,6.93,75
MG,beloha,-25.17,45.06,76.27,75,15.43,20
RU,suntar,62.16,117.65,3.28,73,2.68,64
MX,jacala,21,-99.19,81.22,43,2.13,0
BR,cabedelo,-6.97,-34.84,82.4,74,6.93,20
NE,agadez,16.97,7.99,76.36,24,5.82,36
RU,belyy yar,53.6,91.39,35.6,93,4.47,75
MG,antsohihy,-14.88,47.99,74.29,99,3.69,88
RU,verkhnevilyuysk,63.45,120.31,2.74,65,4.14,44
US,redlands,34.06,-117.19,73.99,40,0.56,5
ET,lebu,8.96,38.73,64.4,34,6.93,20
NG,naze,5.43,7.07,80.6,83,7.38,40
GL,qaanaaq,77.48,-69.36,-20.66,86,8.05,0
IN,umaria,23.52,80.84,59.71,64,2.57,0
NP,jumla,29.28,82.18,28.12,89,1.68,88
GL,ilulissat,69.22,-51.1,30.2,54,20.8,68
,toliary,,,,,,
KZ,ushtobe,45.25,77.98,41.44,93,3.02,92
PF,faanui,-16.48,-151.75,85.72,96,14.54,44
ZA,cape town,-33.93,18.42,66,88,13.87,0
CA,flin flon,54.77,-101.88,24.8,35,2.24,20
MX,coahuayana,18.62,-100.35,89.23,20,3.02,0
BO,urubicha,-15.63,-63.08,87.07,67,2.24,20
,grand river south east,,,,,,
MX,los reyes,20.15,-98.16,76.72,40,2.8,0
AU,port pirie,-33.18,138.01,57.2,76,4.7,90
NZ,te anau,-45.41,167.72,64.03,81,8.61,76
,taolanaro,,,,,,
US,williston,48.15,-103.62,35.6,74,11.41,90
US,glens falls,43.31,-73.64,55.4,29,11.41,1
,tunduru,,,,,,
,camana,,,,,,
,nizhneyansk,,,,,,
LK,hambantota,6.12,81.12,73.4,100,3.36,0
RU,tilichiki,60.47,166.1,7.87,78,7.61,56
IN,ashta,16.95,74.41,67.09,70,3.13,0
PL,tabory,53.89,19.53,45,69,6.04,12
CN,shiyan,32.65,110.78,35.32,80,2.24,12
